raw_SMILES,reaxys_id,SMILES,cas_number
CC(=C)CN(C(C)=O)C1=CC=C(Br)C=C1,23129495,C=C(C)CN(C(C)=O)c1ccc(Br)cc1,937638-21-6
CC(CC1=C(C)C=CC(Br)=C1)C(Cl)=O,23481751,Cc1ccc(Br)cc1CC(C)C(=O)Cl,1417536-94-7
CC1=CC=NN1C1=CC(Br)=CC=C1,23504103,Cc1ccnn1-c1cccc(Br)c1,1260787-69-6
CN(C)C(=S)OC1=CC(Br)=CC=C1F,23580388,CN(C)C(=S)Oc1cc(Br)ccc1F,1431329-18-8
CCOC(=O)C1=CC=C(Br)C=C1CBr,23971833,CCOC(=O)c1ccc(Br)cc1CBr,260561-85-1
COC(=O)C1=C(C)C(NC(=O)C2=C(C=CC(Br)=C2)C(F)(F)F)=C(C)C=C1,26468582,COC(=O)c1ccc(C)c(NC(=O)c2cc(Br)ccc2C(F)(F)F)c1C,1529761-45-2
FC1=CC=C(C=O)C(Br)=C1F,26679248,O=Cc1ccc(F)c(F)c1Br,1578156-21-4
CC(C)(C)OC(=O)N1CCC[C@H](C1)C1=CC=C(Br)C=C1,26967768,CC(C)(C)OC(=O)N1CCC[C@@H](c2ccc(Br)cc2)C1,1476776-55-2
CC1=C(Br)C=CC(OC2=C3C=COC3=CC=N2)=C1,27008866,Cc1cc(Oc2nccc3occc23)ccc1Br,1609581-00-1
CN1C(C2=C(CCC2=O)N(C2=CC=CC(=C2)C(F)(F)F)C1=O)C1=C(Br)C=C(C=C1)C#N,27104715,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1Br,1621271-26-8
COC(=O)C(C(C)=O)C1=C(Br)C=C(F)C=C1,27106190,COC(=O)C(C(C)=O)c1ccc(F)cc1Br,1243144-99-1
COCOC1=CC=C(Br)C=C1Cl,27109770,COCOc1ccc(Br)cc1Cl,1301146-84-8
NC(CC1=C(F)C=C(Br)C=C1)C#N,27188678,N#CC(N)Cc1ccc(Br)cc1F,0
CC(C)CN(CC(C)C)C1=C(C=C(Br)C(F)=C1)N(=O)=O,27440842,CC(C)CN(CC(C)C)c1cc(F)c(Br)cc1[N+](=O)[O-],0
COC(=O)C1=CC=C(CNC2=CC(Br)=CC=C2)C=C1,27559559,COC(=O)c1ccc(CNc2cccc(Br)c2)cc1,0
COCCOC1=C(C=O)C(F)=CC(Br)=C1,27579687,COCCOc1cc(Br)cc(F)c1C=O,0
BrC1=C2C=CC=CC2=C(NC(=O)C2=CC=CC=N2)C=C1,27654137,O=C(Nc1ccc(Br)c2ccccc12)c1ccccn1,0
COC(=O)C1=C(C=CC=C1)C1=CC(Br)=CC=C1,27873162,COC(=O)c1ccccc1-c1cccc(Br)c1,0
ClC1=CC(Br)=CC=C1OC1CCC1,27992183,Clc1cc(Br)ccc1OC1CCC1,0
FC1=CC(F)=C(CBr)C=C1Br,28088087,Fc1cc(F)c(CBr)cc1Br,0
CC(=O)C1=CC(Cl)=C(Br)C=C1N,28150180,CC(=O)c1cc(Cl)c(Br)cc1N,0
CC(C)(C)[Si](C)(C)OC1(COC1)C1=CC=C(Br)C=C1,28541172,CC(C)(C)[Si](C)(C)OC1(c2ccc(Br)cc2)COC1,0
CC1=CC(Br)=CC(C(N)=O)=C1NC(=O)C1=CN=CC=C1,28728598,Cc1cc(Br)cc(C(N)=O)c1NC(=O)c1cccnc1,0
FC(F)C1=C(Br)C=CC(=C1F)S(Cl)(=O)=O,29510554,O=S(=O)(Cl)c1ccc(Br)c(C(F)F)c1F,0
COC(=O)C1=CC(Br)=CC(OCC2CCOCC2)=C1,29836186,COC(=O)c1cc(Br)cc(OCC2CCOCC2)c1,0
BrC1=CC=CC(=C1)C1=CC=CC2=C1OC1=C2C=CC=C1C1=CC=CC=C1,29934060,Brc1cccc(-c2cccc3c2oc2c(-c4ccccc4)cccc23)c1,0
FC(F)OC1=CC(Br)=CC=C1N(=O)=O,30750519,O=[N+]([O-])c1ccc(Br)cc1OC(F)F,0
OCC1=CC=CC(Br)=C1C(F)(F)F,32447113,OCc1cccc(Br)c1C(F)(F)F,0
CC(C)(C)OC(=O)N1CCC(CC1)C(N1C=CN=C1)C1=C(F)C=CC=C1Br,32447584,CC(C)(C)OC(=O)N1CCC(C(c2c(F)cccc2Br)n2ccnc2)CC1,0
NC(=O)C1=CC(Cl)=C(Br)C=C1F,32984692,NC(=O)c1cc(Cl)c(Br)cc1F,0
NC1=C(C=O)C(F)=CC(Br)=C1,34931466,Nc1cc(Br)cc(F)c1C=O,0
NC1=CC(Cl)=CC=C1NC1=CC=C(Cl)C=C1Br,36576239,Nc1cc(Cl)ccc1Nc1ccc(Cl)cc1Br,0
CCOC(=O)C(F)(F)C(=O)C1=C(Br)C=C(F)C=C1,36791196,CCOC(=O)C(F)(F)C(=O)c1ccc(F)cc1Br,0
OC(=O)C(=O)CC(=O)C1=CC=C(Br)C=C1,981007,O=C(O)C(=O)CC(=O)c1ccc(Br)cc1,58303-63-2
CC1=NC=C(O1)C1=CC=C(Br)C=C1,1211729,Cc1ncc(-c2ccc(Br)cc2)o1,69163-85-5
BrC1=CC=C(C=C1)N=CC1=NC=CC=C1,1453195,Brc1ccc(N=Cc2ccccn2)cc1,29202-08-2
ClCC1=C(Cl)C=CC(Br)=C1,1564396,ClCc1cc(Br)ccc1Cl,0
BrC1=CC=C(C=C1)C1=CCCCC1,1943683,Brc1ccc(C2=CCCCC2)cc1,1605-17-0
BrC1=C(CC2CCCCC2=O)C=CC=C1,1962148,O=C1CCCCC1Cc1ccccc1Br,91911-21-6
BrC1=CC=C(C=C1)C(=O)COC(=O)C1=CC=CC=C1,1983822,O=C(COC(=O)c1ccccc1)c1ccc(Br)cc1,7506-12-9
OC1=CC=C(Br)C=C1C(=O)CC(=O)C1=CC=CC=C1,1983882,O=C(CC(=O)c1cc(Br)ccc1O)c1ccccc1,5067-24-3
ClC1=C(Cl)C(Cl)=C(Br)C(Cl)=C1Cl,2051545,Clc1c(Cl)c(Cl)c(Br)c(Cl)c1Cl,13074-96-9
CC(Br)C1=C(Br)C=CC=C1,2078688,CC(Br)c1ccccc1Br,62384-31-0
NC1=CC=C(Br)C(N)=C1,2081091,Nc1ccc(Br)c(N)c1,6264-69-3
COC1=C(Br)C=C(C=C)C=C1,2083969,C=Cc1ccc(OC)c(Br)c1,34039-30-0
CC1=CC(=CC(=C1Br)C(C)(C)C)C(C)(C)C,2257956,Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1Br,16358-71-7
BrC1=CC=CC=C1OC1=CC=CC=C1N(=O)=O,2380548,O=[N+]([O-])c1ccccc1Oc1ccccc1Br,60671-89-8
CC(C)(C)C(O)C1=CC=C(Br)C=C1,2439247,CC(C)(C)C(O)c1ccc(Br)cc1,73492-35-0
CC1=C(C)C=C(C(Br)=C1)N(=O)=O,2443654,Cc1cc(Br)c([N+](=O)[O-])cc1C,53938-24-2
OC(=O)C1=CC2=C(C=CC=C2)C2=C1C=CC(Br)=C2,2459882,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,53581-38-7
CC(C)(O)CC1=CC=CC(Br)=C1,2516354,CC(C)(O)Cc1cccc(Br)c1,3762-39-8
CSCC1=CC=CC=C1Br,2517303,CSCc1ccccc1Br,19614-11-0
COC1=C(CCl)C=C(Br)C=C1,2519811,COc1ccc(Br)cc1CCl,7017-52-9
FC(F)(F)S(=O)C1=CC=C(Br)C=C1,2525227,O=S(c1ccc(Br)cc1)C(F)(F)F,4589-43-9
BrC1=CC=C(CS(=O)(=O)C2=CC=CC=C2)C=C1,2529593,O=S(=O)(Cc1ccc(Br)cc1)c1ccccc1,91110-68-8
ClC1=CC=CC2=C(Br)C3=C(C=C12)C(Cl)=CC=C3,2531059,Clc1cccc2c(Br)c3cccc(Cl)c3cc12,14935-25-2
FC1=CC2=CC=CC=C2C(Br)=C1,2554671,Fc1cc(Br)c2ccccc2c1,343-53-3
[H][C@@](C)(OC1=CC=C(Br)C=C1)C(O)=O,2558752,C[C@H](Oc1ccc(Br)cc1)C(=O)O,37819-43-5
CC(=O)CCC1=CC(Br)=CC=C1,2575151,CC(=O)CCc1cccc(Br)c1,3506-70-5
CCOC(=O)C(O)C1=CC=C(Br)C=C1,2579856,CCOC(=O)C(O)c1ccc(Br)cc1,30565-53-8
CCOC(=O)CCC1=CC=CC(Br)=C1,2580172,CCOC(=O)CCc1cccc(Br)c1,40640-97-9
COC(=O)C1=CC=C(C=O)C=C1Br,2642290,COC(=O)c1ccc(C=O)cc1Br,90484-52-9
BrC1=CC2=C(C=C1)C=C(C#N)C(=C2)C#N,2644211,N#Cc1cc2ccc(Br)cc2cc1C#N,70484-02-5
COC1=CC(Br)=C(N)C(=C1)N(=O)=O,2725662,COc1cc(Br)c(N)c([N+](=O)[O-])c1,10172-35-7
BrC1=CC(NS(=O)(=O)C2=CC=CC=C2)=CC=C1,2734224,O=S(=O)(Nc1cccc(Br)c1)c1ccccc1,91394-73-9
NC1=CC(Br)=CC2=CC=CC=C12,2802784,Nc1cc(Br)cc2ccccc12,90766-34-0
ClC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(Br)C=C1,2812828,O=S(=O)(Nc1ccc(Br)cc1)c1ccc(Cl)cc1,2065-38-5
BrC1=CC=C(NC(=O)C2=CC=C(C=C2)N(=O)=O)C=C1,2813455,O=C(Nc1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1,59280-03-4
CNCC(O)C1=CC=C(Br)C=C1,2832081,CNCC(O)c1ccc(Br)cc1,40587-07-3
ClS(=O)(=O)CC1=C(Br)C=CC=C1,2835390,O=S(=O)(Cl)Cc1ccccc1Br,24974-74-1
ClCCN(CCCl)CC1=CC=C(Br)C=C1,2842721,ClCCN(CCCl)Cc1ccc(Br)cc1,2743-05-7
OC(=O)\C=C/C(=O)NC1=CC=C(Br)C=C1,2939969,O=C(O)/C=C\C(=O)Nc1ccc(Br)cc1,59256-47-2
CC(=C)C(=O)NC1=CC=CC=C1Br,3031147,C=C(C)C(=O)Nc1ccccc1Br,23423-65-6
COC1=CC=CC2=C(Br)C=CC=C12,3049056,COc1cccc2c(Br)cccc12,74924-95-1
OC(=O)CC1=C(C=C(Br)C=C1)C(O)=O,3093119,O=C(O)Cc1ccc(Br)cc1C(=O)O,19725-82-7
OC1=CC(Br)=CC(I)=C1,3234787,Oc1cc(Br)cc(I)c1,570391-20-7
CC1=CC(O)=C(Br)C=C1Cl,3237774,Cc1cc(O)c(Br)cc1Cl,112135-31-6
CCC(=O)C1=CC(C)=C(Br)C=C1,3239782,CCC(=O)c1ccc(Br)c(C)c1,210228-01-6
CC(C)C1=CC(O)=C(C)C=C1Br,3239977,Cc1cc(Br)c(C(C)C)cc1O,121665-99-4
BrC1=CC=CC2=C(C=O)C=CC=C12,3241278,O=Cc1cccc2c(Br)cccc12,41498-06-0
CC1=CC=CC(C(N)=O)=C1Br,3242080,Cc1cccc(C(N)=O)c1Br,101421-85-6
OC1=CC(Br)=CC(=C1)C1=CC=CC=C1,3244992,Oc1cc(Br)cc(-c2ccccc2)c1,136649-31-5
BrC1=C(I)C=CC(=C1)N(=O)=O,3245657,O=[N+]([O-])c1ccc(I)c(Br)c1,7149-14-6
BrC1=C(CC#N)C=CC2=CC=CC=C12,3251825,N#CCc1ccc2ccccc2c1Br,6323-67-7
CC(=O)NC1=C(Cl)C=CC(Br)=C1,3257993,CC(=O)Nc1cc(Br)ccc1Cl,90050-42-3
COC1=CC(N)=C(OC)C(Br)=C1,3260060,COc1cc(N)c(OC)c(Br)c1,115929-62-9
BrC1=C(C=C(C=C1)N(=O)=O)C1=CC=CC=C1,3288251,O=[N+]([O-])c1ccc(Br)c(-c2ccccc2)c1,489409-86-1
COC(=O)C1=CC(N)=C(O)C(Br)=C1,3292545,COC(=O)c1cc(N)c(O)c(Br)c1,260249-10-3
FC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Br)C=C1,3296980,O=S(=O)(c1ccc(F)cc1)c1ccc(Br)cc1,383-28-8
COC1=C(O)C(Br)=CC(C=O)=C1N(=O)=O,3328871,COc1c(O)c(Br)cc(C=O)c1[N+](=O)[O-],98434-34-5
NC1=C(Br)C=C(C=C1C(F)(F)F)N(=O)=O,3353610,Nc1c(Br)cc([N+](=O)[O-])cc1C(F)(F)F,400-66-8
[S-]C1=CC=C(Br)C=C1,4129747,[S-]c1ccc(Br)cc1,26972-20-3
COC(=O)C1=CC=CC=C1C#CC1=CC=C(Br)C=C1,4191671,COC(=O)c1ccccc1C#Cc1ccc(Br)cc1,118520-73-3
BrC1=CC=C(C=[N]#N)C=C1,4377123,[N-]=[N+]=Cc1ccc(Br)cc1,73900-14-8
BrC1=CC=C(C=C1)C(=O)CCC=C,4392507,C=CCCC(=O)c1ccc(Br)cc1,76173-08-5
COC1=CC(Br)=C(CCO)C=C1OC,4416345,COc1cc(Br)c(CCO)cc1OC,289507-36-4
CCOC(=O)CCC(=O)C1=CC=C(Br)C=C1,4432496,CCOC(=O)CCC(=O)c1ccc(Br)cc1,30913-87-2
CC(=O)C1=C(OCC2CO2)C=CC(Br)=C1,4436319,CC(=O)c1cc(Br)ccc1OCC1CO1,73933-64-9
BrC1=CC=C(C=C1)C1(OCCO1)C1=CC=CC=C1,4451672,Brc1ccc(C2(c3ccccc3)OCCO2)cc1,59793-76-9
BrC1=CC=CC(NC(=S)NC(=O)C2=CC=CC=C2)=C1,4472632,O=C(NC(=S)Nc1cccc(Br)c1)c1ccccc1,89069-93-2
CC1=NOC(C=CC2=CC=C(Br)C=C2)=C1N(=O)=O,4479650,Cc1noc(C=Cc2ccc(Br)cc2)c1[N+](=O)[O-],0
OC1=C(C=C(Br)C=C1)C(Cl)=O,4667740,O=C(Cl)c1cc(Br)ccc1O,17464-66-3
BrC1=C(OCCC=C)C=CC=C1,4668262,C=CCCOc1ccccc1Br,87280-00-0
COC1=CC(Br)=CC=C1C=CN(=O)=O,4864718,COc1cc(Br)ccc1C=C[N+](=O)[O-],0
ClC\C=C\C1=CC=C(Br)C=C1,5496328,ClC/C=C/c1ccc(Br)cc1,104293-07-4
OC(=O)C1(CCCC1)C1=CC(Br)=CC=C1,5811904,O=C(O)C1(c2cccc(Br)c2)CCCC1,143328-23-8
NC(C(O)=O)C1=CC(Br)=CC=C1,6056392,NC(C(=O)O)c1cccc(Br)c1,150174-93-9
ClC(=O)C1=CC=CC(C(Cl)=O)=C1Br,6139058,O=C(Cl)c1cccc(C(=O)Cl)c1Br,151603-30-4
CC(C)=CCOC1=CC=CC=C1Br,6192794,CC(C)=CCOc1ccccc1Br,96597-85-2
CC1=CC(=CC=C1)C1=CC=CC=C1Br,6593110,Cc1cccc(-c2ccccc2Br)c1,146534-36-3
CC(=O)C#CC1=CC=C(Br)C=C1,6857719,CC(=O)C#Cc1ccc(Br)cc1,81532-79-8
BrC1=CC(CCCOC2CCCCO2)=CC=C1,7131312,Brc1cccc(CCCOC2CCCCO2)c1,162472-00-6
CS(=O)(=O)C1=CC=C(C=C1Br)N(=O)=O,7532912,CS(=O)(=O)c1ccc([N+](=O)[O-])cc1Br,0
OC(=O)C\C=C\C1=CC=C(Br)C=C1,7633967,O=C(O)C/C=C/c1ccc(Br)cc1,184360-96-1
COC(=O)C(=O)C1=CC=CC=C1Br,7635398,COC(=O)C(=O)c1ccccc1Br,122394-38-1
BrC1=CC=C(CN2C=CC3=CC=CC=C23)C=C1,7705147,Brc1ccc(Cn2ccc3ccccc32)cc1,0
COC(=O)C1=C(NC(C)=O)C=CC(Br)=C1,7810898,COC(=O)c1cc(Br)ccc1NC(C)=O,138825-96-4
CC1=CC(Br)=CC(C)=C1CC#N,7988720,Cc1cc(Br)cc(C)c1CC#N,205035-09-2
CC1(C)OCC(COC2=CC=C(Br)C=C2)O1,8139928,CC1(C)OCC(COc2ccc(Br)cc2)O1,198275-89-7
BrC1=CC(=CC=C1)C1=CN=CO1,8309263,Brc1cccc(-c2cnco2)c1,0
BrC1=CC=C(C=C1)C(=O)NC1CCCCC1,8320962,O=C(NC1CCCCC1)c1ccc(Br)cc1,223553-87-5
FC1=C(Br)C=C(C=C1)C1OCCO1,8392152,Fc1ccc(C2OCCO2)cc1Br,77771-04-1
CC(C)(C)OC(=O)C(C)(C)SC1=CC=C(Br)C=C1,8410776,CC(C)(C)OC(=O)C(C)(C)Sc1ccc(Br)cc1,247923-30-4
NNC1=CC(Br)=C(C=C1)C#N,8480518,N#Cc1ccc(NN)cc1Br,263845-82-5
COC1=CC(Br)=CC(CO)=C1,8542729,COc1cc(Br)cc(CO)c1,262450-64-6
OC(C(=C)C#N)C1=CC=C(Br)C=C1,8545823,C=C(C#N)C(O)c1ccc(Br)cc1,282089-45-6
CC(=O)NC1=C(Br)C=C(C=C1)C(F)(F)F,8837344,CC(=O)Nc1ccc(C(F)(F)F)cc1Br,175135-49-6
BrC1=CC=C(OC2=CC=NC=C2)C=C1,9043977,Brc1ccc(Oc2ccncc2)cc1,0
BrC1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,9050114,Brc1ccccc1-c1nccc2ccccc12,380427-61-2
O[C@H]([C@H]1CCCCC1=O)C1=CC=C(Br)C=C1,9488100,O=C1CCCC[C@@H]1[C@@H](O)c1ccc(Br)cc1,0
NNC1=CC=C(F)C=C1Br,9617569,NNc1ccc(F)cc1Br,299440-21-4
CC1=NC=CN1CC1=CC=C(Br)C=C1,9845872,Cc1nccn1Cc1ccc(Br)cc1,777865-57-3
C[C@@H]1CCCN1CCC1=CC=C(Br)C=C1,10001814,C[C@@H]1CCCN1CCc1ccc(Br)cc1,849519-42-2
CC(C)C1=CC(I)=CC(C(C)C)=C1Br,10066679,CC(C)c1cc(I)cc(C(C)C)c1Br,856197-47-2
ClCC1=NN=C(O1)C1=CC=C(Br)C=C1,10067024,ClCc1nnc(-c2ccc(Br)cc2)o1,568544-04-7
COC1=CC=C(NC(C)C2=CC=C(Br)C=C2)C=C1,10068379,COc1ccc(NC(C)c2ccc(Br)cc2)cc1,0
CN1CCN(CCC2=CC=C(Br)C=C2)CC1,10073350,CN1CCN(CCc2ccc(Br)cc2)CC1,855894-11-0
CC(=O)SCC1=CC=C(Br)C=C1,10152780,CC(=O)SCc1ccc(Br)cc1,351003-15-1
OCC#CC1=CC(Br)=CC=C1,10336167,OCC#Cc1cccc(Br)c1,170859-80-0
OCC1=CC=C(Br)C(CO)=C1,10426895,OCc1ccc(Br)c(CO)c1,335612-69-6
